ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.1,5,0.5,1,156,0.823248762
0.1,5,0.5,4,157,0.828121018
0.1,5,0.5,6,158,0.828164399
0.1,5,0.5,8,159,0.828208068
0.1,5,0.5,10,160,0.828251249
0.1,5,0.7,0.1,161,0.179852324
0.1,5,0.7,0.5,162,0.529518295
0.1,5,0.7,1,163,0.723446314
0.1,5,0.7,4,164,0.82775438
0.1,5,0.7,6,165,0.827621662
0.1,5,0.7,8,166,0.826523319
0.1,5,0.7,10,167,0.826586702
0.1,5,0.9,0.1,168,0.065848354
0.1,5,0.9,0.5,169,0.202793255
0.1,5,0.9,1,170,0.330750494
0.1,5,0.9,4,171,0.722651077
0.1,5,0.9,6,172,0.794800341
0.1,5,0.9,8,173,0.81857206
0.1,5,0.9,10,174,0.824593697
0.1,7,0.1,0.1,175,0.823769782
0.1,7,0.1,0.5,176,0.829886097
0.1,7,0.1,1,177,0.829886352
0.1,7,0.1,4,178,0.829887972
0.1,7,0.1,6,179,0.829889014
0.1,7,0.1,8,180,0.829890038
0.1,7,0.1,10,181,0.829891037
0.1,7,0.3,0.1,182,0.702618723
0.1,7,0.3,0.5,183,0.826448987
0.1,7,0.3,1,184,0.82927306
0.1,7,0.3,4,185,0.829577651
0.1,7,0.3,6,186,0.829586433
0.1,7,0.3,8,187,0.829595032
0.1,7,0.3,10,188,0.829603458
0.1,7,0.5,0.1,189,0.462718887
0.1,7,0.5,0.5,190,0.786986654
0.1,7,0.5,1,191,0.824152626
0.1,7,0.5,4,192,0.82897498
0.1,7,0.5,6,193,0.828998159
0.1,7,0.5,8,194,0.829021594
0.1,7,0.5,10,195,0.829044667
0.1,7,0.7,0.1,196,0.253615832
0.1,7,0.7,0.5,197,0.631539847
0.1,7,0.7,1,198,0.763364943
0.1,7,0.7,4,199,0.828205949
0.1,7,0.7,6,200,0.828553285
0.1,7,0.7,8,201,0.82811605
0.1,7,0.7,10,202,0.828155312
0.1,7,0.9,0.1,203,0.097661591
0.1,7,0.9,0.5,204,0.280724169
0.1,7,0.9,1,205,0.434741728
0.1,7,0.9,4,206,0.762272338
0.1,7,0.9,6,207,0.805515911
0.1,7,0.9,8,208,0.820629388
0.1,7,0.9,10,209,0.825278706
0.3,0.07,0.1,0.1,210,0.584599797
0.3,0.07,0.1,0.5,211,0.61680234
0.3,0.07,0.1,1,212,0.616370149
0.3,0.07,0.1,4,213,0.617443571
0.3,0.07,0.1,6,214,0.618336476
0.3,0.07,0.1,8,215,0.619267638
0.3,0.07,0.1,10,216,0.620198403
0.3,0.07,0.3,0.1,217,0.183460739
0.3,0.07,0.3,0.5,218,0.338543568
0.3,0.07,0.3,1,219,0.34099956
0.3,0.07,0.3,4,220,0.342522805
0.3,0.07,0.3,6,221,0.343111267
0.3,0.07,0.3,8,222,0.343558898
0.3,0.07,0.3,10,223,0.344041745
0.3,0.07,0.5,0.1,224,0.085687881
0.3,0.07,0.5,0.5,225,0.208818473
0.3,0.07,0.5,1,226,0.214442798
0.3,0.07,0.5,4,227,0.215626763
0.3,0.07,0.5,6,228,0.215998596
0.3,0.07,0.5,8,229,0.216309476
0.3,0.07,0.5,10,230,0.216507332
0.3,0.07,0.7,0.1,231,0.03958765
0.3,0.07,0.7,0.5,232,0.12800018
0.3,0.07,0.7,1,233,0.154674584
0.3,0.07,0.7,4,234,0.156352357
0.3,0.07,0.7,6,235,0.156592328
0.3,0.07,0.7,8,236,0.156824616
0.3,0.07,0.7,10,237,0.157027671
0.3,0.07,0.9,0.1,238,0.010953301
0.3,0.07,0.9,0.5,239,0.048472157
0.3,0.07,0.9,1,240,0.080411788
0.3,0.07,0.9,4,241,0.122334414
0.3,0.07,0.9,6,242,0.12258247
0.3,0.07,0.9,8,243,0.122765718
0.3,0.07,0.9,10,244,0.122995131
0.3,0.1,0.1,0.1,245,0.671963836
0.3,0.1,0.1,0.5,246,0.659602275
0.3,0.1,0.1,1,247,0.658947576
0.3,0.1,0.1,4,248,0.660028805
0.3,0.1,0.1,6,249,0.660993483
0.3,0.1,0.1,8,250,0.661978375
0.3,0.1,0.1,10,251,0.662968448
0.3,0.1,0.3,0.1,252,0.20658192
0.3,0.1,0.3,0.5,253,0.472791912
0.3,0.1,0.3,1,254,0.47859046
0.3,0.1,0.3,4,255,0.480254044
0.3,0.1,0.3,6,256,0.480999389
0.3,0.1,0.3,8,257,0.481744579
0.3,0.1,0.3,10,258,0.482471759
0.3,0.1,0.5,0.1,259,0.092954319
0.3,0.1,0.5,0.5,260,0.285075876
0.3,0.1,0.5,1,261,0.320291197
0.3,0.1,0.5,4,262,0.322652366
0.3,0.1,0.5,6,263,0.323162171
0.3,0.1,0.5,8,264,0.323676494
0.3,0.1,0.5,10,265,0.324150615
0.3,0.1,0.7,0.1,266,0.041488945
0.3,0.1,0.7,0.5,267,0.159473887
0.3,0.1,0.7,1,268,0.223052399
0.3,0.1,0.7,4,269,0.237546337
0.3,0.1,0.7,6,270,0.237963101
0.3,0.1,0.7,8,271,0.238315778
0.3,0.1,0.7,10,272,0.238806776
0.3,0.1,0.9,0.1,273,0.01117545
0.3,0.1,0.9,0.5,274,0.052304207
0.3,0.1,0.9,1,275,0.094177729
0.3,0.1,0.9,4,276,0.186604109
0.3,0.1,0.9,6,277,0.187405413
