ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*500,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.1,0.3,8.0,47,0.391735398,65.36234961,5.87603097,2.938015485,1.4690077425,21.78744987,1.4690077425
0.1,0.1,0.3,10.0,48,0.392472101,65.57448959,5.887081515,2.9435407575,1.47177037875,21.858163196666663,1.47177037875
0.1,0.1,0.5,0.1,49,0.089102906,15.60314018,2.22757265,1.113786325,0.5568931625,5.201046726666667,0.5568931625
0.1,0.1,0.5,0.5,50,0.24277657,61.86641011,6.06941425,3.034707125,1.5173535625,20.622136703333332,1.5173535625
0.1,0.1,0.5,1.0,51,0.247914372,64.40916876,6.1978593,3.09892965,1.549464825,21.46972292,1.549464825
0.1,0.1,0.5,4.0,52,0.249676939,65.25715458,6.241923475,3.1209617375,1.56048086875,21.752384860000003,1.56048086875
0.1,0.1,0.5,6.0,53,0.250169721,65.49841394,6.254243025000001,3.1271215125000005,1.5635607562500002,21.83280464666667,1.5635607562500002
0.1,0.1,0.5,8.0,54,0.250684458,65.72263156,6.267111450000001,3.1335557250000003,1.5667778625000002,21.907543853333333,1.5667778625000002
0.1,0.1,0.5,10.0,55,0.251238367,65.9423484,6.280959175,3.1404795875,1.57023979375,21.9807828,1.57023979375
0.1,0.1,0.7,0.1,56,0.040368351,9.417239075,1.412892285,0.7064461425,0.35322307125,3.1390796916666663,0.35322307125
0.1,0.1,0.7,0.5,57,0.150391456,47.37770164,5.26370096,2.63185048,1.31592524,15.792567213333331,1.31592524
0.1,0.1,0.7,1.0,58,0.179694641,63.99071231,6.289312434999999,3.1446562174999997,1.5723281087499998,21.330237436666668,1.5723281087499998
0.1,0.1,0.7,4.0,59,0.181724579,65.3134833,6.360360265,3.1801801325,1.59009006625,21.7711611,1.59009006625
0.1,0.1,0.7,6.0,60,0.182131928,65.56232716,6.37461748,3.18730874,1.59365437,21.85410905333333,1.59365437
0.1,0.1,0.7,8.0,61,0.182549744,65.79001313,6.38924104,3.19462052,1.59731026,21.93000437666667,1.59731026
0.1,0.1,0.7,10.0,62,0.182867033,66.00710198,6.400346155,3.2001730775,1.60008653875,22.00236732666667,1.60008653875
0.1,0.1,0.9,0.1,63,0.011041416,3.150056142,0.49686372,0.24843186,0.12421593,1.050018714,0.12421593
0.1,0.1,0.9,0.5,64,0.050585418,15.9647491,2.27634381,1.138171905,0.5690859525,5.321583033333334,0.5690859525
0.1,0.1,0.9,1.0,65,0.089987296,32.29485952,4.0494283200000005,2.0247141600000003,1.01235708,10.764953173333334,1.01235708
0.1,0.1,0.9,4.0,66,0.142433369,65.16708777,6.409501605000001,3.2047508025000004,1.6023754012500002,21.72236259,1.6023754012500002
0.1,0.1,0.9,6.0,67,0.142834455,65.46595249,6.427550475000001,3.2137752375000006,1.6068876187500003,21.821984163333337,1.6068876187500003
0.1,0.1,0.9,8.0,68,0.143089816,65.70100685,6.439041720000001,3.2195208600000007,1.6097604300000004,21.900335616666663,1.6097604300000004
0.1,0.1,0.9,10.0,69,0.143433348,65.92547099,6.45450066,3.22725033,1.613625165,21.975156996666666,1.613625165
0.1,1.0,0.1,0.1,70,0.809327695,2.93075802,4.046638475,2.0233192375,1.01165961875,0.97691934,0.97691934
0.1,1.0,0.1,0.5,71,0.80098302,12.55088293,4.004915100000001,2.0024575500000004,1.0012287750000002,4.183627643333334,1.0012287750000002
0.1,1.0,0.1,1.0,72,0.800906436,12.55784147,4.004532180000001,2.0022660900000004,1.0011330450000002,4.185947156666667,1.0011330450000002
0.1,1.0,0.1,4.0,73,0.801401868,12.57135015,4.007009340000001,2.0035046700000003,1.0017523350000002,4.19045005,1.0017523350000002
0.1,1.0,0.1,6.0,74,0.801909508,12.58294133,4.009547540000001,2.0047737700000003,1.0023868850000002,4.194313776666667,1.0023868850000002
