ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.63333333,7.8,0.1,1199.05,1.766978518,0.45197379,18.24567942,0.467625485,0.444119185,0.555880815,0.119855553,0.01161549,5.995998964,0.096912402,0.903087598,0.088328214,0.058133055,0.038186694,67
0.1,0.07,0.63333333,8.9,0.1,1199.05,1.761655884,0.452379071,18.26089626,0.467490489,0.441788253,0.558211747,0.119904887,0.011728997,5.997068496,0.097819156,0.902180844,0.087898344,0.058330826,0.038166917,68
0.1,0.07,0.63333333,10,0.1,1199.05,1.756232706,0.452666696,18.27606094,0.46711384,0.439415326,0.560584674,0.119948468,0.011838279,5.998163532,0.098694712,0.901305288,0.087467014,0.058526816,0.038147318,69
0.1,0.07,0.72222222,0.1,0.1,1199.05,0.011241088,0.037999502,1.533666528,0.008185355,0.00020405,0.99979595,0.056140186,0.002629725,6.908158989,0.046842117,0.953157883,0.090953122,0.043427728,0.039657227,70
0.1,0.07,0.72222222,1.2,0.1,1199.05,0.840874222,0.311160707,12.56249952,0.17040061,0.111264307,0.888735693,0.103112527,0.007309556,6.203283819,0.070889116,0.929110884,0.087844801,0.050547745,0.038945226,71
0.1,0.07,0.72222222,2.3,0.1,1199.05,1.675302519,0.401041879,16.18925264,0.367068086,0.40242375,0.59757625,0.117819375,0.010622621,6.01338743,0.090160215,0.909839785,0.089747964,0.055720877,0.038427912,72
0.1,0.07,0.72222222,3.4,0.1,1199.05,1.79111489,0.408668426,16.49702532,0.395273975,0.454522169,0.545477831,0.119689942,0.011151234,5.991021519,0.093167668,0.906832332,0.090124778,0.057071327,0.038292867,73
0.1,0.07,0.72222222,4.5,0.1,1199.05,1.79120074,0.409234247,16.52101419,0.396212368,0.454600378,0.545399622,0.119808525,0.011270261,5.991028922,0.094068934,0.905931066,0.089776825,0.057366512,0.038263349,74
0.1,0.07,0.72222222,5.6,0.1,1199.05,1.787557165,0.4096764,16.53729876,0.396419646,0.453006615,0.546993385,0.11987743,0.011383505,5.991767926,0.094959528,0.905040472,0.089379377,0.057601109,0.038239889,75
0.1,0.07,0.72222222,6.7,0.1,1199.05,1.782956892,0.410039857,16.55191123,0.396360605,0.450986925,0.549013075,0.119933129,0.01149497,5.992697361,0.09584482,0.90415518,0.08896425,0.057815137,0.038218486,76
0.1,0.07,0.72222222,7.8,0.1,1199.05,1.777952849,0.410403748,16.56593749,0.396243595,0.44878905,0.55121095,0.119984919,0.011607252,5.993705553,0.096739247,0.903260753,0.088540585,0.058019402,0.03819806,77
0.1,0.07,0.72222222,8.9,0.1,1199.05,1.772734628,0.410738775,16.57970717,0.396047118,0.446497727,0.553502273,0.120033816,0.011719204,5.994756461,0.097632506,0.902367494,0.088112534,0.058218628,0.038178137,78
0.1,0.07,0.72222222,10,0.1,1199.05,1.767385232,0.411006894,16.59335452,0.395720667,0.444150496,0.555849504,0.12007933,0.011829468,5.995835632,0.098513771,0.901486229,0.087682055,0.058415023,0.038158498,79
0.1,0.07,0.81111111,0.1,0.1,1199.05,0.005383892,0.023237986,0.937639677,0.00490142,7.64E-05,0.999923627,0.049365275,0.002271652,7.01510629,0.046017214,0.953982786,0.091942521,0.042916881,0.039708312,80
0.1,0.07,0.81111111,1.2,0.1,1199.05,0.495312418,0.219632647,8.866739339,0.086240239,0.044037059,0.955962941,0.095068749,0.005999683,6.315515556,0.063108883,0.936891117,0.087568174,0.048540949,0.039145905,81
0.1,0.07,0.81111111,2.3,0.1,1199.05,1.150838732,0.317883967,12.833611,0.205399048,0.200164085,0.799835915,0.108987379,0.008482882,6.124925061,0.077833621,0.922166379,0.088369436,0.052345724,0.038765428,82
0.1,0.07,0.81111111,3.4,0.1,1199.05,1.687992878,0.365401955,14.75140529,0.317161549,0.40776083,0.59223917,0.118038433,0.010684491,6.01076762,0.090517048,0.909482952,0.089772156,0.055793477,0.038420652,83
0.1,0.07,0.81111111,4.5,0.1,1199.05,1.795268251,0.372631926,15.04107849,0.340221578,0.456244527,0.543755473,0.119774265,0.011181486,5.990120341,0.09335465,0.90664535,0.090103596,0.05702849,0.038297151,84
0.1,0.07,0.81111111,5.6,0.1,1199.05,1.795904566,0.373256252,15.06557972,0.341208899,0.456581776,0.543418224,0.119902909,0.011304374,5.990024417,0.094279381,0.905720619,0.089756088,0.057322214,0.038267779,85
0.1,0.07,0.81111111,6.7,0.1,1199.05,1.792380798,0.373647779,15.08098422,0.34134967,0.455040588,0.544959412,0.1199726,0.011417108,5.990741803,0.095164279,0.904835721,0.089358851,0.057555525,0.038244448,86
0.1,0.07,0.81111111,7.8,0.1,1199.05,1.787840532,0.37388552,15.09443282,0.341140322,0.453045289,0.546954711,0.120026039,0.01152584,5.991663342,0.096027826,0.903972174,0.088944597,0.057769109,0.038223089,87
0.1,0.07,0.81111111,8.9,0.1,1199.05,1.782877817,0.374249357,15.10719069,0.341062848,0.450862841,0.549137159,0.120079087,0.011638832,5.99266242,0.096926382,0.903073618,0.088521964,0.057973166,0.038202683,88
0.1,0.07,0.81111111,10,0.1,1199.05,1.777690532,0.374524047,15.11964665,0.340826406,0.448582173,0.551417827,0.120127409,0.011749911,5.993708365,0.097812072,0.902187928,0.088094723,0.058171986,0.038182801,89
0.1,0.07,0.9,0.1,0.1,1199.05,0.001596919,0.011224597,0.452211389,0.002329951,1.51E-05,0.999984851,0.038254307,0.001726109,7.191196699,0.045121941,0.954878059,0.093661999,0.042170886,0.039782911,90
0.1,0.07,0.9,1.2,0.1,1199.05,0.174588503,0.120256291,4.855281279,0.032901641,0.008819949,0.991180051,0.082702565,0.004528185,6.497093658,0.054752649,0.945247351,0.08798105,0.046284245,0.039371575,91
0.1,0.07,0.9,2.3,0.1,1199.05,0.506936415,0.200553041,8.096600461,0.077466641,0.045768074,0.954231926,0.095386014,0.006045613,6.310993325,0.063380501,0.936619499,0.087568809,0.048609744,0.039139026,92
0.1,0.07,0.9,3.4,0.1,1199.05,0.862981438,0.255547733,10.31687501,0.131046042,0.116695959,0.883304041,0.103561579,0.007393036,6.197190954,0.071387824,0.928612176,0.087870254,0.050669632,0.038933037,93
0.1,0.07,0.9,4.5,0.1,1199.05,1.196896287,0.293445422,11.84619877,0.186969795,0.215570829,0.784429171,0.109802509,0.008661682,6.11431955,0.078884187,0.921115813,0.088462472,0.052616359,0.038738364,94
0.1,0.07,0.9,5.6,0.1,1199.05,1.50066161,0.320253199,12.9301466,0.241424539,0.329163783,0.670836217,0.114956712,0.009880714,6.048733355,0.085951604,0.914048396,0.0892038,0.05450092,0.038549908,95
0.1,0.07,0.9,6.7,0.1,1199.05,1.747195992,0.338331483,13.65628452,0.287854004,0.433661121,0.566338879,0.119023393,0.010960964,5.998959516,0.092090835,0.907909165,0.089941773,0.056229464,0.038377054,96
0.1,0.07,0.9,7.8,0.1,1199.05,1.798074506,0.341695429,13.79146496,0.297613373,0.457390374,0.542609626,0.1198608,0.011230818,5.989500292,0.093698828,0.906301172,0.090011494,0.057002425,0.038299757,97
0.1,0.07,0.9,8.9,0.1,1199.05,1.798044409,0.342121973,13.8130963,0.298174411,0.457457923,0.542542077,0.119975054,0.011348493,5.989557332,0.094590443,0.905409557,0.089653928,0.057275754,0.038272425,98
0.1,0.07,0.9,10,0.1,1199.05,1.794388435,0.342575304,13.82723214,0.298385427,0.455860664,0.544139336,0.120046123,0.011464139,5.990300266,0.095497779,0.904502221,0.089250131,0.057497158,0.038250284,99
0.1,0.84,0.1,0.1,1.2,1199.05,0.000990008,0.813448821,32.84299382,0.89442135,8.09E-06,0.999991915,0.033893163,0.001517854,7.260411521,0.044783497,0.955216503,0.094376511,0.041917343,0.039808266,100
0.1,0.84,0.1,1.2,1.2,1199.05,0.017789594,0.827397453,33.40617209,0.999781655,0.000405091,0.999594909,0.060684962,0.003162938,6.841299611,0.05212063,0.94787937,0.089409056,0.04444465,0.039555535,101
0.1,0.84,0.1,2.3,1.2,1199.05,0.017571776,0.827428032,33.4074067,0.999781756,0.000401295,0.999598705,0.060687233,0.003273634,6.843106676,0.053942714,0.946057286,0.089048273,0.044703211,0.039529679,102
0.1,0.84,0.1,3.4,1.2,1199.05,0.017346574,0.827459646,33.40868312,0.999781837,0.000395977,0.999604023,0.060689525,0.00338921,6.844994748,0.055845062,0.944154938,0.088662843,0.044935685,0.039506432,103
0.1,0.84,0.1,4.5,1.2,1199.05,0.017126496,0.827490543,33.40993057,0.999781913,0.000391046,0.999608954,0.060691767,0.003503616,6.846864138,0.057728021,0.942271979,0.088285757,0.04517673,0.039482327,104
0.1,0.84,0.1,5.6,1.2,1199.05,0.016911547,0.827520721,33.41114904,0.999781986,0.00038658,0.99961342,0.060693967,0.003616807,6.848713996,0.059590876,0.940409124,0.087917136,0.045426511,0.039457349,105
