ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.36666667,6.7,0.1,1199.05,1.663980781,0.589234155,23.78964945,0.783077735,0.401049555,0.598950445,0.117993988,0.011044234,6.017504101,0.093599968,0.906400032,0.088317495,0.057699102,0.03823009,36,61.73799787391276,2.160525254641138,1.080262627320569,0.5401313136602846,20.579332624637587,0.5401313136602846
0.1,0.07,0.36666667,7.8,0.1,1199.05,1.658452684,0.589729701,23.80924592,0.783054691,0.398703523,0.601296477,0.118039495,0.011156647,6.018619199,0.094516216,0.905483784,0.087890286,0.057899915,0.038210008,37,61.84985837112025,2.1623422566576567,1.0811711283288283,0.5405855641644142,20.616619457040084,0.5405855641644142
0.1,0.07,0.36666667,8.9,0.1,1199.05,1.652841403,0.590213044,23.82901183,0.782964685,0.396325087,0.603674913,0.118082798,0.011267966,6.019752803,0.095424279,0.904575721,0.087462084,0.058099437,0.038190056,38,61.95640508426974,2.1641145143404343,1.0820572571702172,0.5410286285851086,20.652135028089912,0.5410286285851086
0.1,0.07,0.36666667,10.0,0.1,1199.05,1.64717112,0.590698457,23.84891592,0.782861009,0.393924081,0.606075919,0.118125589,0.011379474,6.020898084,0.096333689,0.903666311,0.087033623,0.058298495,0.038170151,39,62.06179132845788,2.165894362023282,1.082947181011641,0.5414735905058204,20.687263776152623,0.5414735905058204
0.1,0.07,0.45555556,0.1,0.1,1199.05,0.040232164,0.114637076,4.628151328,0.027600327,0.001137214,0.998862786,0.06807029,0.003348617,6.721305451,0.04919352,0.95080648,0.089384684,0.044490755,0.039550924,40,4.920054080828695,0.5222355735394257,0.2611177867697128,0.1305588933848564,1.6400180269428983,0.1305588933848564
0.1,0.07,0.45555556,1.2,0.1,1199.05,1.673757496,0.542117887,21.88727743,0.648697577,0.403063546,0.596936454,0.117703893,0.010567568,6.014394581,0.089780957,0.910219043,0.089857621,0.05588053,0.038411947,41,61.027560128057125,2.4696481759830173,1.234824087991509,0.6174120439957544,20.34252004268571,0.6174120439957544
0.1,0.07,0.45555556,2.3,0.1,1199.05,1.741015328,0.543322928,21.93560545,0.668252384,0.43341858,0.56658142,0.118784817,0.010879694,6.001581296,0.091591622,0.908408378,0.09008546,0.056979916,0.038302008,42,63.69768582644563,2.4751378072587973,1.2375689036293986,0.6187844518146993,21.232561942148543,0.6187844518146993
0.1,0.07,0.45555556,3.4,0.1,1199.05,1.739495008,0.543794949,21.95367812,0.669153813,0.432791709,0.567208291,0.118880082,0.010994329,6.001904115,0.092482503,0.907517497,0.089730747,0.057266737,0.038273326,43,63.93598216846283,2.477288125168665,1.2386440625843325,0.6193220312921662,21.311994056154276,0.6193220312921662
0.1,0.07,0.45555556,4.5,0.1,1199.05,1.735347884,0.544206686,21.97162243,0.669250481,0.431002911,0.568997089,0.118937995,0.011102889,6.002748225,0.093350224,0.906649776,0.089328996,0.057497452,0.038250255,44,64.08107673340412,2.479163815964742,1.239581907982371,0.6197909539911854,21.360358911134707,0.6197909539911854
0.1,0.07,0.45555556,5.6,0.1,1199.05,1.730460431,0.544638315,21.98971401,0.669218243,0.428889249,0.571110751,0.118988636,0.011212844,6.003736793,0.094234576,0.905765424,0.088911038,0.057709413,0.038229059,45,64.20809460284482,2.4811301258728142,1.2405650629364071,0.6202825314682036,21.402698200948276,0.6202825314682036
0.1,0.07,0.45555556,6.7,0.1,1199.05,1.725252185,0.545108492,22.00793033,0.669209386,0.426635151,0.573364849,0.119038424,0.0113255,6.004784599,0.095141544,0.904858456,0.08848631,0.057913518,0.038208648,46,64.33310224327255,2.4832720433381557,1.2416360216690778,0.6208180108345389,21.444367414424185,0.6208180108345389
0.1,0.07,0.45555556,7.8,0.1,1199.05,1.719872419,0.545576747,22.02625844,0.66915096,0.424308607,0.575691393,0.119086297,0.011438293,6.005866601,0.09605045,0.90394955,0.08805816,0.058113616,0.038188638,47,64.453422277459,2.4854052050256334,1.2427026025128167,0.6213513012564084,21.484474092486337,0.6213513012564084
