ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.3,0.1,0.9,0.5,274,0.262966831,0.211969106,19.077219539999998
0.3,0.1,0.9,1.0,275,0.268132215,0.262966831,23.667014790000003
0.3,0.1,0.9,4.0,276,0.268689992,0.268132215,24.13189935
0.3,0.1,0.9,6.0,277,0.269191139,0.268689992,24.18209928
0.3,0.1,0.9,8.0,278,0.269715457,0.269191139,24.227202510000005
0.3,0.1,0.9,10.0,279,0.554325148,0.269715457,24.27439113
0.3,1.0,0.1,0.1,280,0.821783545,0.554325148,5.54325148
0.3,1.0,0.1,0.5,281,0.816282151,0.821783545,8.217835449999999
0.3,1.0,0.1,1.0,282,0.816518802,0.816282151,8.16282151
0.3,1.0,0.1,4.0,283,0.816749293,0.816518802,8.16518802
0.3,1.0,0.1,6.0,284,0.817009684,0.816749293,8.16749293
0.3,1.0,0.1,8.0,285,0.817276416,0.817009684,8.170096840000001
0.3,1.0,0.1,10.0,286,0.190958294,0.817276416,8.172764160000002
0.3,1.0,0.3,0.1,287,0.785416968,0.190958294,5.72874882
0.3,1.0,0.3,0.5,288,0.803498438,0.785416968,23.562509040000002
0.3,1.0,0.3,1.0,289,0.763567116,0.803498438,24.10495314
0.3,1.0,0.3,4.0,290,0.764158667,0.763567116,22.90701348
0.3,1.0,0.3,6.0,291,0.76479608,0.764158667,22.92476001
0.3,1.0,0.3,8.0,292,0.765597242,0.76479608,22.9438824
0.3,1.0,0.3,10.0,293,0.11495475,0.765597242,22.967917259999997
0.3,1.0,0.5,0.1,294,0.527813004,0.11495475,5.7477374999999995
0.3,1.0,0.5,0.5,295,0.793683057,0.527813004,26.3906502
0.3,1.0,0.5,1.0,296,0.722936647,0.793683057,39.68415285
0.3,1.0,0.5,4.0,297,0.723622514,0.722936647,36.146832350000004
0.3,1.0,0.5,6.0,298,0.724498019,0.723622514,36.1811257
0.3,1.0,0.5,8.0,299,0.725435544,0.724498019,36.22490095
0.3,1.0,0.5,10.0,300,0.082212439,0.725435544,36.2717772
0.3,1.0,0.7,0.1,301,0.381766099,0.082212439,5.7548707299999995
0.3,1.0,0.7,0.5,302,0.700714981,0.381766099,26.72362693
0.3,1.0,0.7,1.0,303,0.695594592,0.700714981,49.050048669999995
0.3,1.0,0.7,4.0,304,0.695761491,0.695594592,48.69162143999999
0.3,1.0,0.7,6.0,305,0.696645052,0.695761491,48.70330437
0.3,1.0,0.7,8.0,306,0.697606397,0.696645052,48.765153639999994
0.3,1.0,0.7,10.0,307,0.063988112,0.697606397,48.83244779
0.3,1.0,0.9,0.1,308,0.298290567,0.063988112,5.75893008
0.3,1.0,0.9,0.5,309,0.566708794,0.298290567,26.846151030000005
0.3,1.0,0.9,1.0,310,0.682314307,0.566708794,51.00379146
0.3,1.0,0.9,4.0,311,0.676030662,0.682314307,61.408287630000004
0.3,1.0,0.9,6.0,312,0.676842928,0.676030662,60.84275957999999
0.3,1.0,0.9,8.0,313,0.677776667,0.676842928,60.91586352
0.3,1.0,0.9,10.0,314,0.577950693,0.677776667,60.999900030000006
0.3,3.0,0.1,0.1,315,0.828526616,0.577950693,5.77950693
0.3,3.0,0.1,0.5,316,0.828096984,0.828526616,8.28526616
0.3,3.0,0.1,1.0,317,0.828158512,0.828096984,8.280969840000001
0.3,3.0,0.1,4.0,318,0.828200275,0.828158512,8.28158512
0.3,3.0,0.1,6.0,319,0.828240973,0.828200275,8.28200275
0.3,3.0,0.1,8.0,320,0.828280679,0.828240973,8.282409730000001
0.3,3.0,0.1,10.0,321,0.202116316,0.828280679,8.28280679
0.3,3.0,0.3,0.1,322,0.796882498,0.202116316,6.063489479999999
0.3,3.0,0.3,0.5,323,0.824870124,0.796882498,23.90647494
0.3,3.0,0.3,1.0,324,0.816509357,0.824870124,24.74610372
0.3,3.0,0.3,4.0,325,0.816766996,0.816509357,24.49528071
0.3,3.0,0.3,6.0,326,0.817025972,0.816766996,24.503009879999997
0.3,3.0,0.3,8.0,327,0.817283783,0.817025972,24.510779160000002
0.3,3.0,0.3,10.0,328,0.121840612,0.817283783,24.51851349
0.3,3.0,0.5,0.1,329,0.545908725,0.121840612,6.0920306
0.3,3.0,0.5,0.5,330,0.816235937,0.545908725,27.295436249999998
0.3,3.0,0.5,1.0,331,0.799040611,0.816235937,40.81179685
0.3,3.0,0.5,4.0,332,0.799466535,0.799040611,39.95203055
0.3,3.0,0.5,6.0,333,0.799940648,0.799466535,39.97332675
0.3,3.0,0.5,8.0,334,0.800427886,0.799940648,39.9970324
0.3,3.0,0.5,10.0,335,0.087182232,0.800427886,40.021394300000004
0.3,3.0,0.7,0.1,336,0.396295313,0.087182232,6.102756239999999
0.3,3.0,0.7,0.5,337,0.727508136,0.396295313,27.740671909999996
0.3,3.0,0.7,1.0,338,0.788051001,0.727508136,50.92556951999999
0.3,3.0,0.7,4.0,339,0.780976644,0.788051001,55.16357007
0.3,3.0,0.7,6.0,340,0.781551092,0.780976644,54.668365079999994
0.3,3.0,0.7,8.0,341,0.782188356,0.781551092,54.70857643999999
0.3,3.0,0.7,10.0,342,0.067870911,0.782188356,54.753184919999995
0.3,3.0,0.9,0.1,343,0.310055866,0.067870911,6.108381990000001
0.3,3.0,0.9,0.5,344,0.589573201,0.310055866,27.905027940000004
0.3,3.0,0.9,1.0,345,0.788523705,0.589573201,53.06158809
0.3,3.0,0.9,4.0,346,0.763758359,0.788523705,70.96713345
0.3,3.0,0.9,6.0,347,0.764209825,0.763758359,68.73825231000001
0.3,3.0,0.9,8.0,348,0.764924566,0.764209825,68.77888425
0.3,3.0,0.9,10.0,349,0.591135979,0.764924566,68.84321094
0.3,5.0,0.1,0.1,350,0.829145166,0.591135979,5.911359790000001
0.3,5.0,0.1,0.5,351,0.829232211,0.829145166,8.29145166
0.3,5.0,0.1,1.0,352,0.829256906,0.829232211,8.29232211
0.3,5.0,0.1,4.0,353,0.829273078,0.829256906,8.29256906
0.3,5.0,0.1,6.0,354,0.829288842,0.829273078,8.292730780000001
