ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,Phi2*PSII_antenna_size*100
0.3,0.07,0.9,0.5,239,0.044485776,4.0037198400000005
0.3,0.07,0.9,1.0,240,0.044797412,4.031767080000001
0.3,0.07,0.9,4.0,241,0.045181162,4.06630458
0.3,0.07,0.9,6.0,242,0.04534389,4.0809501
0.3,0.07,0.9,8.0,243,0.045498347,4.094851230000001
0.3,0.07,0.9,10.0,244,0.045655195,4.108967550000001
0.3,0.1,0.1,0.1,245,0.398580372,3.9858037200000003
0.3,0.1,0.1,0.5,246,0.515265635,5.15265635
0.3,0.1,0.1,1.0,247,0.517161172,5.1716117200000005
0.3,0.1,0.1,4.0,248,0.519660118,5.19660118
0.3,0.1,0.1,6.0,249,0.520792584,5.20792584
0.3,0.1,0.1,8.0,250,0.521915495,5.21915495
0.3,0.1,0.1,10.0,251,0.522988468,5.22988468
0.3,0.1,0.3,0.1,252,0.136281977,4.08845931
0.3,0.1,0.3,0.5,253,0.193365808,5.8009742399999995
0.3,0.1,0.3,1.0,254,0.195173582,5.855207460000001
0.3,0.1,0.3,4.0,255,0.196858364,5.90575092
0.3,0.1,0.3,6.0,256,0.197507772,5.92523316
0.3,0.1,0.3,8.0,257,0.198072726,5.94218178
0.3,0.1,0.3,10.0,258,0.198649218,5.959476539999999
0.3,0.1,0.5,0.1,259,0.082015377,4.10076885
0.3,0.1,0.5,0.5,260,0.114436138,5.721806900000001
0.3,0.1,0.5,1.0,261,0.115425264,5.7712632
0.3,0.1,0.5,4.0,262,0.116471357,5.82356785
0.3,0.1,0.5,6.0,263,0.116873347,5.8436673500000005
0.3,0.1,0.5,8.0,264,0.117243956,5.8621978
0.3,0.1,0.5,10.0,265,0.117605963,5.88029815
0.3,0.1,0.7,0.1,266,0.058665449,4.106581429999999
0.3,0.1,0.7,0.5,267,0.081522532,5.70657724
0.3,0.1,0.7,1.0,268,0.082164375,5.751506249999999
0.3,0.1,0.7,4.0,269,0.082908856,5.80361992
0.3,0.1,0.7,6.0,270,0.083196603,5.823762209999999
0.3,0.1,0.7,8.0,271,0.083520454,5.846431779999999
0.3,0.1,0.7,10.0,272,0.083748854,5.862419779999999
0.3,0.1,0.9,0.1,273,0.045667177,4.11004593
0.3,0.1,0.9,0.5,274,0.063382211,5.70439899
0.3,0.1,0.9,1.0,275,0.063933952,5.7540556800000005
0.3,0.1,0.9,4.0,276,0.064488001,5.80392009
0.3,0.1,0.9,6.0,277,0.064711302,5.824017179999999
