ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.3,7,0.3,6,396,0.790061323
0.3,7,0.3,8,397,0.790647526
0.3,7,0.3,10,398,0.791272396
0.3,7,0.5,0.1,399,0.116822934
0.3,7,0.5,0.5,400,0.533851984
0.3,7,0.5,1,401,0.806526126
0.3,7,0.5,4,402,0.757530874
0.3,7,0.5,6,403,0.758152557
0.3,7,0.5,8,404,0.758898219
0.3,7,0.5,10,405,0.759678876
0.3,7,0.7,0.1,406,0.083561237
0.3,7,0.7,0.5,407,0.386353688
0.3,7,0.7,1,408,0.715044535
0.3,7,0.7,4,409,0.733032244
0.3,7,0.7,6,410,0.73348515
0.3,7,0.7,8,411,0.734283833
0.3,7,0.7,10,412,0.73519477
0.3,7,0.9,0.1,413,0.065039073
0.3,7,0.9,0.5,414,0.301943396
0.3,7,0.9,1,415,0.577003703
0.3,7,0.9,4,416,0.722915518
0.3,7,0.9,6,417,0.714589909
0.3,7,0.9,8,418,0.71537224
0.3,7,0.9,10,419,0.716304386
0.7,0.07,0.1,0.1,420,0.16199908
0.7,0.07,0.1,0.5,421,0.174020604
0.7,0.07,0.1,1,422,0.175172173
0.7,0.07,0.1,4,423,0.176631501
0.7,0.07,0.1,6,424,0.177215352
0.7,0.07,0.1,8,425,0.177745172
0.7,0.07,0.1,10,426,0.178250513
0.7,0.07,0.3,0.1,427,0.053690624
0.7,0.07,0.3,0.5,428,0.057223628
0.7,0.07,0.3,1,429,0.057584687
0.7,0.07,0.3,4,430,0.058047298
0.7,0.07,0.3,6,431,0.058265245
0.7,0.07,0.3,8,432,0.058455817
0.7,0.07,0.3,10,433,0.058650693
0.7,0.07,0.5,0.1,434,0.032255035
0.7,0.07,0.5,0.5,435,0.034393113
0.7,0.07,0.5,1,436,0.034601295
0.7,0.07,0.5,4,437,0.034884053
0.7,0.07,0.5,6,438,0.035007738
0.7,0.07,0.5,8,439,0.0351382
0.7,0.07,0.5,10,440,0.035241001
0.7,0.07,0.7,0.1,441,0.023061124
0.7,0.07,0.7,0.5,442,0.024582408
0.7,0.07,0.7,1,443,0.024744753
0.7,0.07,0.7,4,444,0.024942281
0.7,0.07,0.7,6,445,0.025028207
0.7,0.07,0.7,8,446,0.025127718
0.7,0.07,0.7,10,447,0.025213281
0.7,0.07,0.9,0.1,448,0.017952644
0.7,0.07,0.9,0.5,449,0.019140564
0.7,0.07,0.9,1,450,0.019251893
0.7,0.07,0.9,4,451,0.01941906
0.7,0.07,0.9,6,452,0.019485186
0.7,0.07,0.9,8,453,0.019552325
0.7,0.07,0.9,10,454,0.019617437
0.7,0.1,0.1,0.1,455,0.227186272
0.7,0.1,0.1,0.5,456,0.250176885
0.7,0.1,0.1,1,457,0.25188741
0.7,0.1,0.1,4,458,0.253877622
0.7,0.1,0.1,6,459,0.254662589
0.7,0.1,0.1,8,460,0.255365617
0.7,0.1,0.1,10,461,0.256031525
0.7,0.1,0.3,0.1,462,0.075006818
0.7,0.1,0.3,0.5,463,0.081695523
0.7,0.1,0.3,1,464,0.082206409
0.7,0.1,0.3,4,465,0.082935784
0.7,0.1,0.3,6,466,0.083225614
0.7,0.1,0.3,8,467,0.08351303
0.7,0.1,0.3,10,468,0.083771987
0.7,0.1,0.5,0.1,469,0.045073067
0.7,0.1,0.5,0.5,470,0.049046371
0.7,0.1,0.5,1,471,0.049360744
0.7,0.1,0.5,4,472,0.049781078
0.7,0.1,0.5,6,473,0.049956826
0.7,0.1,0.5,8,474,0.050143573
0.7,0.1,0.5,10,475,0.050289939
0.7,0.1,0.7,0.1,476,0.032231505
0.7,0.1,0.7,0.5,477,0.035075682
0.7,0.1,0.7,1,478,0.035291334
0.7,0.1,0.7,4,479,0.035593064
0.7,0.1,0.7,6,480,0.035730046
0.7,0.1,0.7,8,481,0.035851183
0.7,0.1,0.7,10,482,0.035962318
0.7,0.1,0.9,0.1,483,0.02507995
0.7,0.1,0.9,0.5,484,0.027308545
0.7,0.1,0.9,1,485,0.027482146
0.7,0.1,0.9,4,486,0.02770387
0.7,0.1,0.9,6,487,0.027803678
0.7,0.1,0.9,8,488,0.027916698
0.7,0.1,0.9,10,489,0.028003283
0.7,1,0.1,0.1,490,0.505172299
0.7,1,0.1,0.5,491,0.674424481
0.7,1,0.1,1,492,0.672394519
0.7,1,0.1,4,493,0.673187422
0.7,1,0.1,6,494,0.674118641
0.7,1,0.1,8,495,0.675064257
0.7,1,0.1,10,496,0.675999888
0.7,1,0.3,0.1,497,0.171806109
0.7,1,0.3,0.5,498,0.591111518
0.7,1,0.3,1,499,0.597116359
0.7,1,0.3,4,500,0.598239947
0.7,1,0.3,6,501,0.59922278
0.7,1,0.3,8,502,0.600216333
0.7,1,0.3,10,503,0.601226603
0.7,1,0.5,0.1,504,0.103302243
0.7,1,0.5,0.5,505,0.408123331
0.7,1,0.5,1,506,0.464934896
0.7,1,0.5,4,507,0.469401252
0.7,1,0.5,6,508,0.470590463
0.7,1,0.5,8,509,0.471680173
0.7,1,0.5,10,510,0.472766739
0.7,1,0.7,0.1,511,0.073849395
0.7,1,0.7,0.5,512,0.298290955
0.7,1,0.7,1,513,0.351310682
0.7,1,0.7,4,514,0.355981363
0.7,1,0.7,6,515,0.356994037
0.7,1,0.7,8,516,0.357908269
0.7,1,0.7,10,517,0.358856992
0.7,1,0.9,0.1,518,0.057468037
0.7,1,0.9,0.5,519,0.233745821
0.7,1,0.9,1,520,0.27729464
0.7,1,0.9,4,521,0.281332571
0.7,1,0.9,6,522,0.28218767
0.7,1,0.9,8,523,0.282969464
0.7,1,0.9,10,524,0.283702206
0.7,3,0.1,0.1,525,0.530200683
0.7,3,0.1,0.5,526,0.761584432
0.7,3,0.1,1,527,0.750907745
0.7,3,0.1,4,528,0.751268473
0.7,3,0.1,6,529,0.752104187
0.7,3,0.1,8,530,0.752992833
0.7,3,0.1,10,531,0.753903731
0.7,3,0.3,0.1,532,0.18070925
0.7,3,0.3,0.5,533,0.73005105
0.7,3,0.3,1,534,0.689875983
0.7,3,0.3,4,535,0.673111856
0.7,3,0.3,6,536,0.674013167
0.7,3,0.3,8,537,0.674985762
0.7,3,0.3,10,538,0.675982603
0.7,3,0.5,0.1,539,0.108677104
0.7,3,0.5,0.5,540,0.496474063
0.7,3,0.5,1,541,0.679886181
0.7,3,0.5,4,542,0.643689211
0.7,3,0.5,6,543,0.644577824
0.7,3,0.5,8,544,0.645542507
0.7,3,0.5,10,545,0.646534242
0.7,3,0.7,0.1,546,0.077692618
0.7,3,0.7,0.5,547,0.359566596
0.7,3,0.7,1,548,0.608503726
0.7,3,0.7,4,549,0.623168066
0.7,3,0.7,6,550,0.624028161
0.7,3,0.7,8,551,0.624968559
0.7,3,0.7,10,552,0.625933639
0.7,3,0.9,0.1,553,0.06045977
0.7,3,0.9,0.5,554,0.281077059
0.7,3,0.9,1,555,0.503079997
0.7,3,0.9,4,556,0.597813957
0.7,3,0.9,6,557,0.598754178
0.7,3,0.9,8,558,0.599739373
0.7,3,0.9,10,559,0.600733183
0.7,5,0.1,0.1,560,0.539165278
0.7,5,0.1,0.5,561,0.796549598
0.7,5,0.1,1,562,0.784352266
0.7,5,0.1,4,563,0.784771518
0.7,5,0.1,6,564,0.785410974
0.7,5,0.1,8,565,0.786101463
0.7,5,0.1,10,566,0.786796495
0.7,5,0.3,0.1,567,0.184338776
0.7,5,0.3,0.5,568,0.763003772
0.7,5,0.3,1,569,0.745584169
0.7,5,0.3,4,570,0.708116165
0.7,5,0.3,6,571,0.708986151
0.7,5,0.3,8,572,0.709946961
0.7,5,0.3,10,573,0.710937228
0.7,5,0.5,0.1,574,0.110887122
0.7,5,0.5,0.5,575,0.512158273
0.7,5,0.5,1,576,0.738735958
0.7,5,0.5,4,577,0.673022553
0.7,5,0.5,6,578,0.673824647
0.7,5,0.5,8,579,0.674775898
0.7,5,0.5,10,580,0.675771468
0.7,5,0.7,0.1,581,0.079286712
0.7,5,0.7,0.5,582,0.37020754
0.7,5,0.7,1,583,0.661044673
0.7,5,0.7,4,584,0.653051352
0.7,5,0.7,6,585,0.65388113
0.7,5,0.7,8,586,0.65483844
0.7,5,0.7,10,587,0.65582648
0.7,5,0.9,0.1,588,0.061695867
0.7,5,0.9,0.5,589,0.289195319
0.7,5,0.9,1,590,0.539928509
0.7,5,0.9,4,591,0.639188474
0.7,5,0.9,6,592,0.639935091
0.7,5,0.9,8,593,0.640859606
0.7,5,0.9,10,594,0.641832227
0.7,7,0.1,0.1,595,0.545036976
0.7,7,0.1,0.5,596,0.810555177
0.7,7,0.1,1,597,0.800971651
0.7,7,0.1,4,598,0.801388177
0.7,7,0.1,6,599,0.801858672
0.7,7,0.1,8,600,0.80236425
0.7,7,0.1,10,601,0.802868274
0.7,7,0.3,0.1,602,0.186831327
0.7,7,0.3,0.5,603,0.77597991
0.7,7,0.3,1,604,0.774732549
0.7,7,0.3,4,605,0.733059393
0.7,7,0.3,6,606,0.733851786
0.7,7,0.3,8,607,0.734741575
0.7,7,0.3,10,608,0.735485658
0.7,7,0.5,0.1,609,0.112419563
0.7,7,0.5,0.5,610,0.519473755
0.7,7,0.5,1,611,0.767882611
0.7,7,0.5,4,612,0.695504663
0.7,7,0.5,6,613,0.696295495
0.7,7,0.5,8,614,0.6972456
0.7,7,0.5,10,615,0.698244866
0.7,7,0.7,0.1,616,0.080385367
0.7,7,0.7,0.5,617,0.375400334
0.7,7,0.7,1,618,0.683930821
0.7,7,0.7,4,619,0.67289212
0.7,7,0.7,6,620,0.673633285
0.7,7,0.7,8,621,0.674537044
0.7,7,0.7,10,622,0.675519344
0.7,7,0.9,0.1,623,0.062557315
0.7,7,0.9,0.5,624,0.293226845
0.7,7,0.9,1,625,0.55486693
0.7,7,0.9,4,626,0.657763398
0.7,7,0.9,6,627,0.658414753
0.7,7,0.9,8,628,0.659353934
0.7,7,0.9,10,629,0.660335498
0.9,0.07,0.1,0.1,630,0.126525737
0.9,0.07,0.1,0.5,631,0.134359562
0.9,0.07,0.1,1,632,0.135205523
0.9,0.07,0.1,4,633,0.136346105
0.9,0.07,0.1,6,634,0.13679044
0.9,0.07,0.1,8,635,0.137239587
0.9,0.07,0.1,10,636,0.137636182
0.9,0.07,0.3,0.1,637,0.042119457
0.9,0.07,0.3,0.5,638,0.044555365
0.9,0.07,0.3,1,639,0.044806827
0.9,0.07,0.3,4,640,0.045178786
0.9,0.07,0.3,6,641,0.045346706
0.9,0.07,0.3,8,642,0.04550122
0.9,0.07,0.3,10,643,0.045648297
0.9,0.07,0.5,0.1,644,0.025312663
0.9,0.07,0.5,0.5,645,0.026777845
0.9,0.07,0.5,1,646,0.026928649
0.9,0.07,0.5,4,647,0.027149935
0.9,0.07,0.5,6,648,0.027253282
