P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Result
7.8,0.1,0.25,0.6333,0.08967444,5.6790822852
8.9,0.1,0.25,0.6333,0.08967444,5.6790822852
10.0,0.1,0.25,0.6333,0.08967444,5.6790822852
0.1,0.1,0.25,0.7222,0.078665621,5.68123114862
1.2,0.1,0.25,0.7222,0.078665621,5.68123114862
2.3,0.1,0.25,0.7222,0.078665621,5.68123114862
3.4,0.1,0.25,0.7222,0.078665621,5.68123114862
4.5,0.1,0.25,0.7222,0.078665621,5.68123114862
5.6,0.1,0.25,0.7222,0.078665621,5.68123114862
6.7,0.1,0.25,0.7222,0.078665621,5.68123114862
7.8,0.1,0.25,0.7222,0.078665621,5.68123114862
8.9,0.1,0.25,0.7222,0.078665621,5.68123114862
10.0,0.1,0.25,0.7222,0.078665621,5.68123114862
0.1,0.1,0.25,0.8111,0.070064672,5.68294554592
1.2,0.1,0.25,0.8111,0.070064672,5.68294554592
2.3,0.1,0.25,0.8111,0.070064672,5.68294554592
3.4,0.1,0.25,0.8111,0.070064672,5.68294554592
4.5,0.1,0.25,0.8111,0.070064672,5.68294554592
5.6,0.1,0.25,0.8111,0.070064672,5.68294554592
6.7,0.1,0.25,0.8111,0.070064672,5.68294554592
7.8,0.1,0.25,0.8111,0.070064672,5.68294554592
8.9,0.1,0.25,0.8111,0.070064672,5.68294554592
10.0,0.1,0.25,0.8111,0.070064672,5.68294554592
0.1,0.1,0.25,0.9,0.063158303,5.68424727
1.2,0.1,0.25,0.9,0.063158303,5.68424727
2.3,0.1,0.25,0.9,0.063158303,5.68424727
3.4,0.1,0.25,0.9,0.063158303,5.68424727
4.5,0.1,0.25,0.9,0.063158303,5.68424727
5.6,0.1,0.25,0.9,0.063158303,5.68424727
6.7,0.1,0.25,0.9,0.063158303,5.68424727
7.8,0.1,0.25,0.9,0.063158303,5.68424727
8.9,0.1,0.25,0.9,0.063158303,5.68424727
10.0,0.1,0.25,0.9,0.063158303,5.68424727
0.1,0.1,0.4,0.1,0.557872494,5.578724940000001
1.2,0.1,0.4,0.1,0.557872494,5.578724940000001
2.3,0.1,0.4,0.1,0.557872494,5.578724940000001
3.4,0.1,0.4,0.1,0.557872494,5.578724940000001
4.5,0.1,0.4,0.1,0.557872494,5.578724940000001
5.6,0.1,0.4,0.1,0.557872494,5.578724940000001
6.7,0.1,0.4,0.1,0.557872494,5.578724940000001
7.8,0.1,0.4,0.1,0.557872494,5.578724940000001
8.9,0.1,0.4,0.1,0.557872494,5.578724940000001
10.0,0.1,0.4,0.1,0.557872494,5.578724940000001
0.1,0.1,0.4,0.1889,0.303839455,5.73952730495
1.2,0.1,0.4,0.1889,0.303839455,5.73952730495
2.3,0.1,0.4,0.1889,0.303839455,5.73952730495
3.4,0.1,0.4,0.1889,0.303839455,5.73952730495
4.5,0.1,0.4,0.1889,0.303839455,5.73952730495
5.6,0.1,0.4,0.1889,0.303839455,5.73952730495
6.7,0.1,0.4,0.1889,0.303839455,5.73952730495
7.8,0.1,0.4,0.1889,0.303839455,5.73952730495
8.9,0.1,0.4,0.1889,0.303839455,5.73952730495
10.0,0.1,0.4,0.1889,0.303839455,5.73952730495
0.1,0.1,0.4,0.2778,0.20779677,5.7725942706
1.2,0.1,0.4,0.2778,0.20779677,5.7725942706
2.3,0.1,0.4,0.2778,0.20779677,5.7725942706
3.4,0.1,0.4,0.2778,0.20779677,5.7725942706
4.5,0.1,0.4,0.2778,0.20779677,5.7725942706
5.6,0.1,0.4,0.2778,0.20779677,5.7725942706
6.7,0.1,0.4,0.2778,0.20779677,5.7725942706
7.8,0.1,0.4,0.2778,0.20779677,5.7725942706
8.9,0.1,0.4,0.2778,0.20779677,5.7725942706
10.0,0.1,0.4,0.2778,0.20779677,5.7725942706
0.1,0.1,0.4,0.3667,0.157806397,5.78676057799
1.2,0.1,0.4,0.3667,0.157806397,5.78676057799
2.3,0.1,0.4,0.3667,0.157806397,5.78676057799
3.4,0.1,0.4,0.3667,0.157806397,5.78676057799
4.5,0.1,0.4,0.3667,0.157806397,5.78676057799
5.6,0.1,0.4,0.3667,0.157806397,5.78676057799
6.7,0.1,0.4,0.3667,0.157806397,5.78676057799
7.8,0.1,0.4,0.3667,0.157806397,5.78676057799
8.9,0.1,0.4,0.3667,0.157806397,5.78676057799
10.0,0.1,0.4,0.3667,0.157806397,5.78676057799
0.1,0.1,0.4,0.4556,0.127183808,5.7944942924800005
1.2,0.1,0.4,0.4556,0.127183808,5.7944942924800005
2.3,0.1,0.4,0.4556,0.127183808,5.7944942924800005
3.4,0.1,0.4,0.4556,0.127183808,5.7944942924800005
4.5,0.1,0.4,0.4556,0.127183808,5.7944942924800005
5.6,0.1,0.4,0.4556,0.127183808,5.7944942924800005
6.7,0.1,0.4,0.4556,0.127183808,5.7944942924800005
7.8,0.1,0.4,0.4556,0.127183808,5.7944942924800005
8.9,0.1,0.4,0.4556,0.127183808,5.7944942924800005
10.0,0.1,0.4,0.4556,0.127183808,5.7944942924800005
0.1,0.1,0.4,0.5444,0.106531654,5.79958324376
1.2,0.1,0.4,0.5444,0.106531654,5.79958324376
2.3,0.1,0.4,0.5444,0.106531654,5.79958324376
3.4,0.1,0.4,0.5444,0.106531654,5.79958324376
4.5,0.1,0.4,0.5444,0.106531654,5.79958324376
5.6,0.1,0.4,0.5444,0.106531654,5.79958324376
6.7,0.1,0.4,0.5444,0.106531654,5.79958324376
7.8,0.1,0.4,0.5444,0.106531654,5.79958324376
8.9,0.1,0.4,0.5444,0.106531654,5.79958324376
10.0,0.1,0.4,0.5444,0.106531654,5.79958324376
0.1,0.1,0.4,0.6333,0.091630585,5.80296494805
1.2,0.1,0.4,0.6333,0.091630585,5.80296494805
2.3,0.1,0.4,0.6333,0.091630585,5.80296494805
3.4,0.1,0.4,0.6333,0.091630585,5.80296494805
4.5,0.1,0.4,0.6333,0.091630585,5.80296494805
5.6,0.1,0.4,0.6333,0.091630585,5.80296494805
6.7,0.1,0.4,0.6333,0.091630585,5.80296494805
7.8,0.1,0.4,0.6333,0.091630585,5.80296494805
8.9,0.1,0.4,0.6333,0.091630585,5.80296494805
10.0,0.1,0.4,0.6333,0.091630585,5.80296494805
0.1,0.1,0.4,0.7222,0.080386857,5.80553881254
1.2,0.1,0.4,0.7222,0.080386857,5.80553881254
2.3,0.1,0.4,0.7222,0.080386857,5.80553881254
3.4,0.1,0.4,0.7222,0.080386857,5.80553881254
4.5,0.1,0.4,0.7222,0.080386857,5.80553881254
5.6,0.1,0.4,0.7222,0.080386857,5.80553881254
6.7,0.1,0.4,0.7222,0.080386857,5.80553881254
7.8,0.1,0.4,0.7222,0.080386857,5.80553881254
8.9,0.1,0.4,0.7222,0.080386857,5.80553881254
10.0,0.1,0.4,0.7222,0.080386857,5.80553881254
0.1,0.1,0.4,0.8111,0.071598839,5.807381831290001
1.2,0.1,0.4,0.8111,0.071598839,5.807381831290001
2.3,0.1,0.4,0.8111,0.071598839,5.807381831290001
3.4,0.1,0.4,0.8111,0.071598839,5.807381831290001
4.5,0.1,0.4,0.8111,0.071598839,5.807381831290001
5.6,0.1,0.4,0.8111,0.071598839,5.807381831290001
6.7,0.1,0.4,0.8111,0.071598839,5.807381831290001
7.8,0.1,0.4,0.8111,0.071598839,5.807381831290001
8.9,0.1,0.4,0.8111,0.071598839,5.807381831290001
10.0,0.1,0.4,0.8111,0.071598839,5.807381831290001
0.1,0.1,0.4,0.9,0.064542899,5.80886091
1.2,0.1,0.4,0.9,0.064542899,5.80886091
2.3,0.1,0.4,0.9,0.064542899,5.80886091
3.4,0.1,0.4,0.9,0.064542899,5.80886091
4.5,0.1,0.4,0.9,0.064542899,5.80886091
5.6,0.1,0.4,0.9,0.064542899,5.80886091
6.7,0.1,0.4,0.9,0.064542899,5.80886091
7.8,0.1,0.4,0.9,0.064542899,5.80886091
8.9,0.1,0.4,0.9,0.064542899,5.80886091
10.0,0.1,0.4,0.9,0.064542899,5.80886091
0.1,0.1,0.55,0.1,0.564389998,5.6438999800000005
1.2,0.1,0.55,0.1,0.564389998,5.6438999800000005
2.3,0.1,0.55,0.1,0.564389998,5.6438999800000005
3.4,0.1,0.55,0.1,0.564389998,5.6438999800000005
4.5,0.1,0.55,0.1,0.564389998,5.6438999800000005
5.6,0.1,0.55,0.1,0.564389998,5.6438999800000005
6.7,0.1,0.55,0.1,0.564389998,5.6438999800000005
7.8,0.1,0.55,0.1,0.564389998,5.6438999800000005
8.9,0.1,0.55,0.1,0.564389998,5.6438999800000005
10.0,0.1,0.55,0.1,0.564389998,5.6438999800000005
0.1,0.1,0.55,0.1889,0.308387395,5.825437891550001
1.2,0.1,0.55,0.1889,0.308387395,5.825437891550001
2.3,0.1,0.55,0.1889,0.308387395,5.825437891550001
3.4,0.1,0.55,0.1889,0.308387395,5.825437891550001
4.5,0.1,0.55,0.1889,0.308387395,5.825437891550001
5.6,0.1,0.55,0.1889,0.308387395,5.825437891550001
6.7,0.1,0.55,0.1889,0.308387395,5.825437891550001
7.8,0.1,0.55,0.1889,0.308387395,5.825437891550001
8.9,0.1,0.55,0.1889,0.308387395,5.825437891550001
10.0,0.1,0.55,0.1889,0.308387395,5.825437891550001
0.1,0.1,0.55,0.2778,0.211037086,5.86261024908
1.2,0.1,0.55,0.2778,0.211037086,5.86261024908
2.3,0.1,0.55,0.2778,0.211037086,5.86261024908
3.4,0.1,0.55,0.2778,0.211037086,5.86261024908
4.5,0.1,0.55,0.2778,0.211037086,5.86261024908
5.6,0.1,0.55,0.2778,0.211037086,5.86261024908
6.7,0.1,0.55,0.2778,0.211037086,5.86261024908
7.8,0.1,0.55,0.2778,0.211037086,5.86261024908
8.9,0.1,0.55,0.2778,0.211037086,5.86261024908
10.0,0.1,0.55,0.2778,0.211037086,5.86261024908
0.1,0.1,0.55,0.3667,0.160307545,5.87847767515
1.2,0.1,0.55,0.3667,0.160307545,5.87847767515
2.3,0.1,0.55,0.3667,0.160307545,5.87847767515
3.4,0.1,0.55,0.3667,0.160307545,5.87847767515
4.5,0.1,0.55,0.3667,0.160307545,5.87847767515
5.6,0.1,0.55,0.3667,0.160307545,5.87847767515
6.7,0.1,0.55,0.3667,0.160307545,5.87847767515
7.8,0.1,0.55,0.3667,0.160307545,5.87847767515
8.9,0.1,0.55,0.3667,0.160307545,5.87847767515
10.0,0.1,0.55,0.3667,0.160307545,5.87847767515
