Phi2,P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.243576297,0.7,0.3,0.1,0.9,0.7,21.92186673
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.816330519,0.7,0.3,1,0.1,0.7,8.163305189
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.81149368,0.7,0.3,1,0.3,0.7,24.34481039
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.701789788,0.7,0.3,1,0.5,0.7,35.08948942
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.521764596,0.7,0.3,1,0.7,0.7,36.5235217
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.40991121,0.7,0.3,1,0.9,0.7,36.89200891
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.828094109,0.7,0.3,3,0.1,0.7,8.280941087
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.82321432,0.7,0.3,3,0.3,0.7,24.6964296
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.721934523,0.7,0.3,3,0.5,0.7,36.09672614
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.540458736,0.7,0.3,3,0.7,0.7,37.83211154
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
0.425484013,0.7,0.3,3,0.9,0.7,38.29356121
