ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,idx
0.1,1.61,0.81111111,10.0,2.3,289
0.1,1.61,0.9,0.1,2.3,290
0.1,1.61,0.9,1.2,2.3,291
0.1,1.61,0.9,2.3,2.3,292
0.1,1.61,0.9,3.4,2.3,293
0.1,1.61,0.9,4.5,2.3,294
0.1,1.61,0.9,5.6,2.3,295
0.1,1.61,0.9,6.7,2.3,296
0.1,1.61,0.9,7.8,2.3,297
0.1,1.61,0.9,8.9,2.3,298
0.1,1.61,0.9,10.0,2.3,299
0.1,2.38,0.1,0.1,3.4,300
0.1,2.38,0.1,1.2,3.4,301
0.1,2.38,0.1,2.3,3.4,302
0.1,2.38,0.1,3.4,3.4,303
0.1,2.38,0.1,4.5,3.4,304
0.1,2.38,0.1,5.6,3.4,305
0.1,2.38,0.1,6.7,3.4,306
0.1,2.38,0.1,7.8,3.4,307
0.1,2.38,0.1,8.9,3.4,308
0.1,2.38,0.1,10.0,3.4,309
0.1,2.38,0.18888889,0.1,3.4,310
0.1,2.38,0.18888889,1.2,3.4,311
0.1,2.38,0.18888889,2.3,3.4,312
0.1,2.38,0.18888889,3.4,3.4,313
0.1,2.38,0.18888889,4.5,3.4,314
0.1,2.38,0.18888889,5.6,3.4,315
0.1,2.38,0.18888889,6.7,3.4,316
0.1,2.38,0.18888889,7.8,3.4,317
0.1,2.38,0.18888889,8.9,3.4,318
0.1,2.38,0.18888889,10.0,3.4,319
0.1,2.38,0.27777778,0.1,3.4,320
0.1,2.38,0.27777778,1.2,3.4,321
0.1,2.38,0.27777778,2.3,3.4,322
0.1,2.38,0.27777778,3.4,3.4,323
0.1,2.38,0.27777778,4.5,3.4,324
0.1,2.38,0.27777778,5.6,3.4,325
0.1,2.38,0.27777778,6.7,3.4,326
0.1,2.38,0.27777778,7.8,3.4,327
0.1,2.38,0.27777778,8.9,3.4,328
0.1,2.38,0.27777778,10.0,3.4,329
0.1,2.38,0.36666667,0.1,3.4,330
0.1,2.38,0.36666667,1.2,3.4,331
0.1,2.38,0.36666667,2.3,3.4,332
0.1,2.38,0.36666667,3.4,3.4,333
0.1,2.38,0.36666667,4.5,3.4,334
0.1,2.38,0.36666667,5.6,3.4,335
0.1,2.38,0.36666667,6.7,3.4,336
0.1,2.38,0.36666667,7.8,3.4,337
0.1,2.38,0.36666667,8.9,3.4,338
0.1,2.38,0.36666667,10.0,3.4,339
0.1,2.38,0.45555556,0.1,3.4,340
0.1,2.38,0.45555556,1.2,3.4,341
0.1,2.38,0.45555556,2.3,3.4,342
0.1,2.38,0.45555556,3.4,3.4,343
0.1,2.38,0.45555556,4.5,3.4,344
0.1,2.38,0.45555556,5.6,3.4,345
0.1,2.38,0.45555556,6.7,3.4,346
0.1,2.38,0.45555556,7.8,3.4,347
0.1,2.38,0.45555556,8.9,3.4,348
0.1,2.38,0.45555556,10.0,3.4,349
0.1,2.38,0.54444444,0.1,3.4,350
0.1,2.38,0.54444444,1.2,3.4,351
0.1,2.38,0.54444444,2.3,3.4,352
0.1,2.38,0.54444444,3.4,3.4,353
0.1,2.38,0.54444444,4.5,3.4,354
0.1,2.38,0.54444444,5.6,3.4,355
0.1,2.38,0.54444444,6.7,3.4,356
0.1,2.38,0.54444444,7.8,3.4,357
0.1,2.38,0.54444444,8.9,3.4,358
0.1,2.38,0.54444444,10.0,3.4,359
0.1,2.38,0.63333333,0.1,3.4,360
0.1,2.38,0.63333333,1.2,3.4,361
0.1,2.38,0.63333333,2.3,3.4,362
0.1,2.38,0.63333333,3.4,3.4,363
0.1,2.38,0.63333333,4.5,3.4,364
0.1,2.38,0.63333333,5.6,3.4,365
0.1,2.38,0.63333333,6.7,3.4,366
0.1,2.38,0.63333333,7.8,3.4,367
0.1,2.38,0.63333333,8.9,3.4,368
0.1,2.38,0.63333333,10.0,3.4,369
0.1,2.38,0.72222222,0.1,3.4,370
0.1,2.38,0.72222222,1.2,3.4,371
0.1,2.38,0.72222222,2.3,3.4,372
0.1,2.38,0.72222222,3.4,3.4,373
0.1,2.38,0.72222222,4.5,3.4,374
0.1,2.38,0.72222222,5.6,3.4,375
0.1,2.38,0.72222222,6.7,3.4,376
0.1,2.38,0.72222222,7.8,3.4,377
0.1,2.38,0.72222222,8.9,3.4,378
0.1,2.38,0.72222222,10.0,3.4,379
0.1,2.38,0.81111111,0.1,3.4,380
0.1,2.38,0.81111111,1.2,3.4,381
0.1,2.38,0.81111111,2.3,3.4,382
0.1,2.38,0.81111111,3.4,3.4,383
0.1,2.38,0.81111111,4.5,3.4,384
0.1,2.38,0.81111111,5.6,3.4,385
0.1,2.38,0.81111111,6.7,3.4,386
0.1,2.38,0.81111111,7.8,3.4,387
0.1,2.38,0.81111111,8.9,3.4,388
0.1,2.38,0.81111111,10.0,3.4,389
0.1,2.38,0.9,0.1,3.4,390
0.1,2.38,0.9,1.2,3.4,391
0.1,2.38,0.9,2.3,3.4,392
0.1,2.38,0.9,3.4,3.4,393
0.1,2.38,0.9,4.5,3.4,394
0.1,2.38,0.9,5.6,3.4,395
0.1,2.38,0.9,6.7,3.4,396
0.1,2.38,0.9,7.8,3.4,397
0.1,2.38,0.9,8.9,3.4,398
