Phi2,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,Result
0.70454624,0.1,5.0,0.5,0.7,35.227312
0.70454624,0.1,5.0,0.5,0.7,35.227312
0.70454624,0.1,5.0,0.5,0.7,35.227312
0.70454624,0.1,5.0,0.5,0.7,35.227312
0.70454624,0.1,5.0,0.5,0.7,35.227312
0.70454624,0.1,5.0,0.5,0.7,35.227312
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.541794611,0.1,5.0,0.7,0.7,37.92562277
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.429804841,0.1,5.0,0.9,0.7,38.68243569
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.773497104,0.1,7.0,0.1,0.7,7.73497104
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.769061617,0.1,7.0,0.3,0.7,23.07184851
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.706829526,0.1,7.0,0.5,0.7,35.341476300000004
0.546786115,0.1,7.0,0.7,0.7,38.27502805
0.546786115,0.1,7.0,0.7,0.7,38.27502805
0.546786115,0.1,7.0,0.7,0.7,38.27502805
