ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,CO2
0.3,5,0.5,10,370,2.688304997
0.3,5,0.7,0.1,371,0.038482235
0.3,5,0.7,0.5,372,0.189821742
0.3,5,0.7,1,373,0.380067363
0.3,5,0.7,4,374,1.780858355
0.3,5,0.7,6,375,2.792518779
0.3,5,0.7,8,376,3.694277297
0.3,5,0.7,10,377,3.69863827
0.3,5,0.9,0.1,378,0.013166363
0.3,5,0.9,0.5,379,0.06371446
0.3,5,0.9,1,380,0.126733931
0.3,5,0.9,4,381,0.506622958
0.3,5,0.9,6,382,0.768020863
0.3,5,0.9,8,383,1.059173989
0.3,5,0.9,10,384,1.382372484
0.3,7,0.1,0.1,385,0.087495693
0.3,7,0.1,0.5,386,0.389719828
0.3,7,0.1,1,387,0.389736415
0.3,7,0.1,4,388,0.389832894
0.3,7,0.1,6,389,0.38989392
0.3,7,0.1,8,390,0.389955851
0.3,7,0.1,10,391,0.390019296
0.3,7,0.3,0.1,392,0.063868646
0.3,7,0.3,0.5,393,0.350908201
0.3,7,0.3,1,394,0.767835662
0.3,7,0.3,4,395,1.167064154
0.3,7,0.3,6,396,1.167360095
0.3,7,0.3,8,397,1.16765753
0.3,7,0.3,10,398,1.167952697
0.3,7,0.5,0.1,399,0.045715145
0.3,7,0.5,0.5,400,0.228027186
0.3,7,0.5,1,401,0.486910892
0.3,7,0.5,4,402,1.933566623
0.3,7,0.5,6,403,1.934405862
0.3,7,0.5,8,404,1.935182054
0.3,7,0.5,10,405,1.935968791
0.3,7,0.7,0.1,406,0.02765781
0.3,7,0.7,0.5,407,0.135901152
0.3,7,0.7,1,408,0.272388956
0.3,7,0.7,4,409,1.272854119
0.3,7,0.7,6,410,1.993716834
0.3,7,0.7,8,411,2.681469737
0.3,7,0.7,10,412,2.684200612
0.3,7,0.9,0.1,413,0.009522696
0.3,7,0.9,0.5,414,0.045705066
0.3,7,0.9,1,415,0.090757158
0.3,7,0.9,4,416,0.362978931
0.3,7,0.9,6,417,0.556818596
0.3,7,0.9,8,418,0.76130254
0.3,7,0.9,10,419,0.990709324
0.7,0.07,0.1,0.1,420,0.6745816
0.7,0.07,0.1,0.5,421,0.730044466
0.7,0.07,0.1,1,422,0.731740636
0.7,0.07,0.1,4,423,0.734259554
0.7,0.07,0.1,6,424,0.735451913
0.7,0.07,0.1,8,425,0.736531507
0.7,0.07,0.1,10,426,0.737669931
0.7,0.07,0.3,0.1,427,0.666039454
0.7,0.07,0.3,0.5,428,0.814435556
0.7,0.07,0.3,1,429,0.817924401
0.7,0.07,0.3,4,430,0.821126145
0.7,0.07,0.3,6,431,0.822443528
0.7,0.07,0.3,8,432,0.823806716
0.7,0.07,0.3,10,433,0.82469793
0.7,0.07,0.5,0.1,434,0.574019005
0.7,0.07,0.5,0.5,435,0.824155605
0.7,0.07,0.5,1,436,0.828526125
0.7,0.07,0.5,4,437,0.832081539
0.7,0.07,0.5,6,438,0.833164509
0.7,0.07,0.5,8,439,0.83417467
0.7,0.07,0.5,10,440,0.835867419
0.7,0.07,0.7,0.1,441,0.41659299
0.7,0.07,0.7,0.5,442,0.822760629
0.7,0.07,0.7,1,443,0.831667947
0.7,0.07,0.7,4,444,0.835788663
0.7,0.07,0.7,6,445,0.837692926
0.7,0.07,0.7,8,446,0.838165923
0.7,0.07,0.7,10,447,0.839315206
0.7,0.07,0.9,0.1,448,0.165530516
0.7,0.07,0.9,0.5,449,0.594748885
0.7,0.07,0.9,1,450,0.809441719
0.7,0.07,0.9,4,451,0.83760527
0.7,0.07,0.9,6,452,0.839197658
0.7,0.07,0.9,8,453,0
0.7,0.07,0.9,10,454,0.841104432
0.7,0.1,0.1,0.1,455,0.879792296
0.7,0.1,0.1,0.5,456,0.95772603
0.7,0.1,0.1,1,457,0.958373574
0.7,0.1,0.1,4,458,0.96063145
0.7,0.1,0.1,6,459,0
0.7,0.1,0.1,8,460,0.963502124
0.7,0.1,0.1,10,461,0.964884849
0.7,0.1,0.3,0.1,462,0.852167983
0.7,0.1,0.3,0.5,463,1.236541126
0.7,0.1,0.3,1,464,1.243044269
0.7,0.1,0.3,4,465,1.248175987
0.7,0.1,0.3,6,466,1.250323515
0.7,0.1,0.3,8,467,1.251699845
0.7,0.1,0.3,10,468,1.254158362
0.7,0.1,0.5,0.1,469,0.693796215
0.7,0.1,0.5,0.5,470,1.261225009
0.7,0.1,0.5,1,471,1.27163232
0.7,0.1,0.5,4,472,1.277221242
0.7,0.1,0.5,6,473,1.280087917
0.7,0.1,0.5,8,474,1.281982319
0.7,0.1,0.5,10,475,1.283177315
0.7,0.1,0.7,0.1,476,0.4678287
0.7,0.1,0.7,0.5,477,1.230108176
0.7,0.1,0.7,1,478,1.280772559
0.7,0.1,0.7,4,479,1.287605597
0.7,0.1,0.7,6,480,1.28990725
0.7,0.1,0.7,8,481,1.291918589
0.7,0.1,0.7,10,482,1.293454066
0.7,0.1,0.9,0.1,483,0.171761515
0.7,0.1,0.9,0.5,484,0.712727474
0.7,0.1,0.9,1,485,1.08201262
0.7,0.1,0.9,4,486,1.292736265
0.7,0.1,0.9,6,487,1.294669892
0.7,0.1,0.9,8,488,1.297078587
0.7,0.1,0.9,10,489,1.298220415
0.7,1,0.1,0.1,490,1.365506882
0.7,1,0.1,0.5,491,1.365754908
0.7,1,0.1,1,492,1.364833013
0.7,1,0.1,4,493,1.365807214
0.7,1,0.1,6,494,1.367062631
0.7,1,0.1,8,495,1.368321481
0.7,1,0.1,10,496,1.369575505
0.7,1,0.3,0.1,497,1.024872246
0.7,1,0.3,0.5,498,4.060279157
0.7,1,0.3,1,499,3.715629955
0.7,1,0.3,4,500,3.651936645
0.7,1,0.3,6,501,3.656111419
0.7,1,0.3,8,502,0
0.7,1,0.3,10,503,3.662023082
0.7,1,0.5,0.1,504,0.733109068
0.7,1,0.5,0.5,505,3.65525552
0.7,1,0.5,1,506,6.404566499
0.7,1,0.5,4,507,5.758444501
0.7,1,0.5,6,508,5.719828599
0.7,1,0.5,8,509,5.772609929
0.7,1,0.5,10,510,5.774313886
0.7,1,0.7,0.1,511,0.440707495
0.7,1,0.7,0.5,512,2.198608435
0.7,1,0.7,1,513,4.38306478
0.7,1,0.7,4,514,7.7732773
0.7,1,0.7,6,515,7.811080457
0.7,1,0.7,8,516,7.820652705
0.7,1,0.7,10,517,7.827666418
0.7,1,0.9,0.1,518,0.147583357
0.7,1,0.9,0.5,519,0.735129985
0.7,1,0.9,1,520,1.469125565
0.7,1,0.9,4,521,5.82512538
0.7,1,0.9,6,522,8.736779857
0.7,1,0.9,8,523,10.25189322
0.7,1,0.9,10,524,10.21392288
0.7,3,0.1,0.1,525,0.461834843
0.7,3,0.1,0.5,526,1.43705299
0.7,3,0.1,1,527,1.437061293
0.7,3,0.1,4,528,1.437411236
0.7,3,0.1,6,529,1.437726815
0.7,3,0.1,8,530,1.438038088
0.7,3,0.1,10,531,1.438347652
0.7,3,0.3,0.1,532,0.343274415
0.7,3,0.3,0.5,533,1.890815691
0.7,3,0.3,1,534,4.182587643
0.7,3,0.3,4,535,4.099089078
0.7,3,0.3,6,536,4.102131826
0.7,3,0.3,8,537,4.105699269
0.7,3,0.3,10,538,4.109463498
0.7,3,0.5,0.1,539,0.2453971
0.7,3,0.5,0.5,540,1.227489949
0.7,3,0.5,1,541,2.618431022
0.7,3,0.5,4,542,6.505564704
0.7,3,0.5,6,543,6.509835316
0.7,3,0.5,8,544,6.516752821
0.7,3,0.5,10,545,6.524450975
0.7,3,0.7,0.1,546,0.147588423
0.7,3,0.7,0.5,547,0.735317585
0.7,3,0.7,1,548,1.471322512
0.7,3,0.7,4,549,6.94994803
0.7,3,0.7,6,550,8.855378135
0.7,3,0.7,8,551,8.773575526
0.7,3,0.7,10,552,8.782471157
0.7,3,0.9,0.1,553,0.04968727
0.7,3,0.9,0.5,554,0.245597628
0.7,3,0.9,1,555,0.490535574
0.7,3,0.9,4,556,1.961418318
0.7,3,0.9,6,557,2.961695192
0.7,3,0.9,8,558,4.09491967
0.7,3,0.9,10,559,5.37594181
0.7,5,0.1,0.1,560,0.280073618
0.7,5,0.1,0.5,561,1.269848653
0.7,5,0.1,1,562,1.269977959
0.7,5,0.1,4,563,1.270472959
0.7,5,0.1,6,564,1.270785462
0.7,5,0.1,8,565,1.271114496
0.7,5,0.1,10,566,1.271419203
0.7,5,0.3,0.1,567,0.206493671
0.7,5,0.3,0.5,568,1.138426396
0.7,5,0.3,1,569,2.508612639
0.7,5,0.3,4,570,3.697342973
0.7,5,0.3,6,571,3.69986304
0.7,5,0.3,8,572,3.702695933
0.7,5,0.3,10,573,3.705668587
0.7,5,0.5,0.1,574,0.147625421
0.7,5,0.5,0.5,575,0.738915246
0.7,5,0.5,1,576,1.577894955
0.7,5,0.5,4,577,5.86922681
0.7,5,0.5,6,578,5.87582262
0.7,5,0.5,8,579,5.88268915
0.7,5,0.5,10,580,5.89005967
0.7,5,0.7,0.1,581,0.088879253
0.7,5,0.7,0.5,582,0.441731562
0.7,5,0.7,1,583,0.884829113
0.7,5,0.7,4,584,4.16344245
0.7,5,0.7,6,585,6.535826387
0.7,5,0.7,8,586,7.798486023
0.7,5,0.7,10,587,7.81076699
0.7,5,0.9,0.1,588,0.030059317
0.7,5,0.9,0.5,589,0.147680559
0.7,5,0.9,1,590,0.294660587
0.7,5,0.9,4,591,1.179801516
0.7,5,0.9,6,592,1.787087991
0.7,5,0.9,8,593,2.467704971
0.7,5,0.9,10,594,3.227248755
0.7,7,0.1,0.1,595,0.201906273
0.7,7,0.1,0.5,596,0.90835832
0.7,7,0.1,1,597,0.908421113
0.7,7,0.1,4,598,0.908716056
0.7,7,0.1,6,599,0.908905768
0.7,7,0.1,8,600,0.90911188
0.7,7,0.1,10,601,0.909293384
0.7,7,0.3,0.1,602,0.147868146
0.7,7,0.3,0.5,603,0.815996348
0.7,7,0.3,1,604,1.79191809
0.7,7,0.3,4,605,2.68390723
0.7,7,0.3,6,606,2.685302476
0.7,7,0.3,8,607,2.686721894
0.7,7,0.3,10,608,2.688197247
0.7,7,0.5,0.1,609,0.105699912
0.7,7,0.5,0.5,610,0.529648277
0.7,7,0.5,1,611,1.132158755
0.7,7,0.5,4,612,4.341281203
0.7,7,0.5,6,613,4.34550581
