ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.3,3,0.9,4,0.842343536
0.3,3,0.9,6,1.272512876
0.3,3,0.9,8,1.753939761
0.3,3,0.9,10,2.297564512
0.3,5,0.1,0.1,0.121095336
0.3,5,0.1,0.5,0.545508091
0.3,5,0.1,1,0.545533005
0.3,5,0.1,4,0.545680487
0.3,5,0.1,6,0.545776492
0.3,5,0.1,8,0.545866357
0.3,5,0.1,10,0.54595822
0.3,5,0.3,0.1,0.0890116
0.3,5,0.3,0.5,0.489044363
0.3,5,0.3,1,1.074549929
0.3,5,0.3,4,1.629478416
0.3,5,0.3,6,1.630002474
0.3,5,0.3,8,1.630543515
0.3,5,0.3,10,1.631064588
0.3,5,0.5,0.1,0.06371432
0.3,5,0.5,0.5,0.317672252
0.3,5,0.5,1,0.677792818
0.3,5,0.5,4,2.683549987
0.3,5,0.5,6,2.685194654
0.3,5,0.5,8,2.686766574
0.3,5,0.5,10,2.688304997
0.3,5,0.7,0.1,0.038482235
0.3,5,0.7,0.5,0.189821742
0.3,5,0.7,1,0.380067363
0.3,5,0.7,4,1.780858355
0.3,5,0.7,6,2.792518779
0.3,5,0.7,8,3.694277297
0.3,5,0.7,10,3.69863827
0.3,5,0.9,0.1,0.013166363
0.3,5,0.9,0.5,0.06371446
0.3,5,0.9,1,0.126733931
0.3,5,0.9,4,0.506622958
0.3,5,0.9,6,0.768020863
0.3,5,0.9,8,1.059173989
0.3,5,0.9,10,1.382372484
0.3,7,0.1,0.1,0.087495693
0.3,7,0.1,0.5,0.389719828
0.3,7,0.1,1,0.389736415
0.3,7,0.1,4,0.389832894
0.3,7,0.1,6,0.38989392
0.3,7,0.1,8,0.389955851
0.3,7,0.1,10,0.390019296
0.3,7,0.3,0.1,0.063868646
0.3,7,0.3,0.5,0.350908201
0.3,7,0.3,1,0.767835662
0.3,7,0.3,4,1.167064154
0.3,7,0.3,6,1.167360095
0.3,7,0.3,8,1.16765753
0.3,7,0.3,10,1.167952697
0.3,7,0.5,0.1,0.045715145
0.3,7,0.5,0.5,0.228027186
0.3,7,0.5,1,0.486910892
0.3,7,0.5,4,1.933566623
0.3,7,0.5,6,1.934405862
0.3,7,0.5,8,1.935182054
0.3,7,0.5,10,1.935968791
0.3,7,0.7,0.1,0.02765781
0.3,7,0.7,0.5,0.135901152
0.3,7,0.7,1,0.272388956
0.3,7,0.7,4,1.272854119
0.3,7,0.7,6,1.993716834
0.3,7,0.7,8,2.681469737
0.3,7,0.7,10,2.684200612
0.3,7,0.9,0.1,0.009522696
0.3,7,0.9,0.5,0.045705066
0.3,7,0.9,1,0.090757158
0.3,7,0.9,4,0.362978931
